Tournament,Date,Team_Name,Weight_Class,Player_Name,Opponent_Name,Match_Day_Order,Match_ID,Period,Clock,Position,Player_Move,Type,Side,Player_Success,Player_Points,Opponent_Points,Point Type,Player_Total,Opponent_Total,Win_Loss,URL
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,1,1,1,2:40,Neutral,High Crotch,Initial,Right,0,0,0,None,0,0,1,https://www.youtube.com/watch?v=y_uxqfeZPiA
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,1,1,1,2:33,Neutral,High Crotch Defense,Initial,Right,1,0,0,None,0,0,1,https://www.youtube.com/watch?v=y_uxqfeZPiA
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,1,1,1,2:09,Neutral,Low Single Defense,Initial,Right,1,0,0,None,0,0,1,https://www.youtube.com/watch?v=y_uxqfeZPiA
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,1,1,1,2:00,Neutral,Single Leg,Reattack,Left,1,2,0,Takedown,2,0,1,https://www.youtube.com/watch?v=y_uxqfeZPiA
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,1,1,1,1:35,Neutral,Single Leg Defense,Initial,Left,1,0,0,None,0,0,1,https://www.youtube.com/watch?v=y_uxqfeZPiA
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,1,1,1,1:22,Neutral,Double Leg Defense,Initial,Center,0,0,0,None,0,0,1,https://www.youtube.com/watch?v=y_uxqfeZPiA
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,1,1,1,1:20,Neutral,Pancake,Reattack,Center,1,10,0,Pin,12,0,1,https://www.youtube.com/watch?v=y_uxqfeZPiA
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,2,2,1,2:40,Neutral,Knee Pick,Initial,Right,0,0,0,None,0,0,1,https://www.youtube.com/watch?v=e62N5FUyhZI
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,2,2,1,2:10,Neutral,Front Head Snap,Initial,Center,1,2,0,Takedown,2,0,1,https://www.youtube.com/watch?v=e62N5FUyhZI
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,2,2,1,2:05,Partare,Leg Lace,Initial,Left,0,0,0,None,2,0,1,https://www.youtube.com/watch?v=e62N5FUyhZI
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,2,2,1,1:39,Neutral,Single Leg Defense,Initial,Right,0,0,0,None,2,0,1,https://www.youtube.com/watch?v=e62N5FUyhZI
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,2,2,1,1:18,Neutral,Low Single Defense,Initial,Right,1,0,0,None,2,0,1,https://www.youtube.com/watch?v=e62N5FUyhZI
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,2,2,1,1:16,Neutral,Single Leg,Reattack,Left,0,0,0,None,2,0,1,https://www.youtube.com/watch?v=e62N5FUyhZI
Final X,6/10/23,Sunkist,53,Dominique Parrish,Katie Gomez,2,2,1,1:13,Neutral,Single Leg Defense,Reattack,Right,1,0,0,None,2,0,1,https://www.youtube.com/watch?v=e62N5FUyhZI
