Match_ID,Period,Clock_Start,Player_Move,Side,Player_Points,Opponent_Points,Point Type,Player_Total,Opponent_Total
1,1,2:40,High Crotch,Right,0,0,None,0,0
1,1,2:33,High Crotch Defense,Right,0,0,None,0,0
1,1,2:09,Low Single Defense,Right,0,0,None,0,0
1,1,2:00,Single Leg,Left,2,0,Takedown,2,0
1,1,1:35,Single Leg Defense,Left,0,0,None,0,0
1,1,1:22,Double Leg Defense,Center,0,0,None,0,0
1,1,1:20,Pancake,Center,10,0,Pin,12,0
2,1,2:40,Knee Pick,Right,0,0,None,0,0
2,1,2:10,Front Head Snap,Center,2,0,Takedown,2,0
2,1,2:05,Leg Lace,Left,0,0,None,2,0
2,1,1:39,Single Leg Defense,Right,0,0,None,2,0
2,1,1:18,Low Single Defense,Right,0,0,None,2,0
2,1,1:16,Single Leg,Left,0,0,None,2,0
2,1,1:13,Single Leg Defense,Right,0,0,None,2,0
2,1,0:47,High Crotch,Right,2,0,Takedown,4,0
2,2,2:47,Single Leg Defense,Left,0,0,None,4,0
2,2,2:11,Low Single Defense,Right,0,0,None,4,0
2,2,1:53,High Crotch Defense,Right,0,0,None,4,0
2,2,1:16,Under Hook,Left,1,0,Step Out,5,0
2,2,1:06,Low Single Defense,Right,0,0,None,5,0
2,2,0:33,High Crotch Defense,Right,0,0,None,5,0
2,2,0:17,High Crotch Defense,Right,0,0,None,5,0
3,1,5:39,Shuck By,Right,2,0,Takedown,2,0
3,1,5:20,Gut Wrench,Left,0,0,None,2,0
3,1,4:39,Single Leg,Left,0,0,None,2,0
3,1,4:02,Outside Single,Left,2,0,Takedown,4,0
3,1,3:36,Arm Drag,Left,0,0,None,4,0
3,1,3:34,Pancake,Center,4,0,Feet to back,8,0
3,1,3:27,Single Leg Defense,Left,0,0,None,8,0
3,1,3:08,High Crotch,Right,2,0,Takedown,10,0
4,1,5:45,Front Head Snap,Center,0,0,None,0,0
4,1,5:25,High Crotch,Right,4,0,Feet to back,4,0
